Municipality,Region,Population,Census,Election Year,Candidate Name,Sex,Age,Position,Winner,ID Number,Size of Council,Number of Votes Obtained,Total Votes in Election,Eligible Voters,Campaign Spending,Type of Election,Incumbent,Years of Service,Acclaimed/Elected,,,,,,
Appleton,2,574,2016,2017,"Smith-Noel, Sharon",2,.,3,1,,7,95,222,420,,1,.,.,2,,,,,,
Aquaforte,1,83,2011,2013,"Cose, Carol Ann",2,5,3,1,,5,1,1,1,,4,1,4,1,,,,,,
Aquaforte,1,83,2011,2013,"Keough, Donna",2,.,3,1,,5,1,1,1,,4,1,4,1,,,,,,
Aquaforte,1,83,2011,2013,"Arsenault, Rhonda, C. ",2,.,3,1,,5,1,1,1,,4,1,3,1,,,,,,
Aquaforte,1,83,2011,2013,"Coady, Sharon",2,.,3,1,,5,1,1,1,,4,1,4,1,,,,,,
Aquaforte,1,83,2011,2013,"Stoddley, Shirley ",2,.,3,1,,5,1,1,1,,4,1,4,1,,,,,,
Aquaforte,1,80,2016,2017,"Croft, Jerome",1,5,3,1,,5,1,1,1,,4,2,.,1,,,,,,
Aquaforte,1,80,2016,2017,"Kavanagh, Earon",1,5,3,1,,5,1,1,1,,4,2,.,1,,,,,,
Aquaforte,1,80,2016,2017,"Maher, Christopher",1,5,3,1,,5,1,1,1,,2,2,.,1,,,,,,
Aquaforte,1,80,2016,2017,"Cose, Carol Anne",2,5,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Aquaforte,1,80,2016,2017,"Trainor, Debra",2,5,3,1,,5,1,1,1,,2,2,.,1,,,,,,
Aquaforte ,1,103,2006,2009,"Maher, Christopher",1,2,3,1,,5,1,1,1,,1,2,0,1,,,,,,
Aquaforte ,1,103,2006,2009,"Cose, Carol Ann",2,4,3,1,,5,1,1,1,,1,2,0,1,,,,,,
Aquaforte ,1,103,2006,2009,"Keough, Donna",2,4,3,1,,5,1,1,1,,1,2,0,1,,,,,,
Aquaforte ,1,103,2006,2009,"Coady, Sharon",2,4,3,1,,5,1,1,1,,1,2,0,1,,,,,,
Aquaforte ,1,103,2006,2009,"Stoodley, Shirley",2,5,3,1,,5,1,1,1,,1,2,0,1,,,,,,
Arnold's Cove,1,"1,003",2006,2009,"Brinston, Allister",1,.,3,1,,7,330,481,756,,1,.,20,2,,,,,,
Arnold's Cove,1,"1,003",2006,2009,"Bolt, Bill",1,2,3,2,,7,127,481,756,,1,2,0,2,,,,,,
Arnold's Cove,1,"1,003",2006,2009,"Osborne, Tom",1,.,3,1,,7,372,481,756,,1,1,19,2,,,,,,
Arnold's Cove,1,"1,003",2006,2009,"Wadman, Aiden",1,.,3,1,,7,314,481,756,,1,1,4,2,,,,,,
Arnold's Cove,1,"1,003",2006,2009,"Brinston, Gina",2,3,3,2,,7,113,481,756,,1,2,0,2,,,,,,
Arnold's Cove,1,"1,003",2006,2009,"Penney, Edna",2,.,3,1,,7,340,481,756,,1,1,2,2,,,,,,
Arnold's Cove,1,"1,003",2006,2009,"Penney, Linda",2,.,3,1,,7,297,481,756,,1,1,8,2,,,,,,
Arnold's Cove,1,"1,003",2006,2009,"Pond, Victoria",2,.,3,1,,7,271,481,756,,1,1,4,2,,,,,,
Arnold's Cove,1,"1,003",2006,2009,"Daley, Basil",1,.,3,1,,7,364,481,756,,1,1,20,2,,,,,,
Arnold's Cove,1,949,2016,2017,"Daley, Basil",1,.,1,1,,7,1,1,1,,4,.,.,1,,,,,,
Arnold's Cove,1,949,2016,2017,"Wadman, Aiden",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Arnold's Cove,1,949,2016,2017,"Warren, Corey",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Arnold's Cove,1,949,2016,2017,"Williams, Trevor",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Arnold's Cove,1,949,2016,2017,"Otter, Heidi",2,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Arnold's Cove,1,949,2016,2017,"Penney, Edna",2,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Arnold's Cove,1,949,2016,2017,"Penney, Linda",2,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Arnold's Cove ,1,757,2011,2013,"Best, Scott",1,.,3,1,,7,295,398,745,,1,2,0,2,,,,,,
Arnold's Cove ,1,757,2011,2013,"Hoskins, Trevor",1,.,3,1,,7,262,398,745,,1,2,0,2,,,,,,
Arnold's Cove ,1,757,2011,2013,"Hynes, Bradley",1,2,3,2,,7,178,398,745,,1,2,0,3,,,,,,
Arnold's Cove ,1,757,2011,2013,"Wadman, Aiden",1,4,3,1,,7,284,398,745,,1,1,11,2,,,,,,
Arnold's Cove ,1,757,2011,2013,"Daley, Basil",1,4,1,1,,7,1,398,745,,4,1,.,1,,,,,,
Arnold's Cove ,1,757,2011,2013,"Penney, Edna",2,.,3,1,,7,271,398,745,,1,1,.,2,,,,,,
Arnold's Cove ,1,757,2011,2013,"Penney, Linda",2,.,3,1,,7,305,398,745,,1,1,.,2,,,,,,
Arnold's Cove ,1,757,2011,2013,"Pond, Victoria",2,.,3,1,,7,253,398,745,,1,1,.,2,,,,,,
Avondale,1,636,2011,2013,"Flaherty, Kevin",1,.,3,1,,5,231,304,481,,1,1,.,2,,,,,,
Avondale,1,636,2011,2013,"Mahoney, Owen",1,.,3,1,,5,245,304,481,,1,1,.,2,,,,,,
Avondale,1,636,2011,2013,"Doyle, Patrick",1,.,3,1,,5,229,304,481,,1,1,.,2,,,,,,
Avondale,1,636,2011,2013,"Furneaux, Jonathan",1,.,3,1,,5,229,304,481,,1,1,.,2,,,,,,
Avondale,1,636,2011,2013,"Hickey, Bernard ",1,3,3,2,,5,96,304,481,,1,1,.,3,,,,,,
Avondale,1,636,2011,2013,"Gorman, Crystal Lynn",2,2,3,1,,5,228,304,481,,1,1,.,2,,,,,,
Avondale,1,641,2016,2017,"Flaherty, Kevin",1,4,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Avondale,1,641,2016,2017,"Furneaux, Jon",1,4,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Avondale,1,641,2016,2017,"Mahoney, Owen",1,3,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Avondale,1,641,2016,2017,"Gorman, Crystal Lynn",2,5,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Avondale ,1,667,2006,2009,"Smith, Thomas",1,.,3,1,,5,1,1,1,,1,2,0,1,,,,,,
Avondale ,1,667,2006,2009,"Phillips, Donna",2,.,3,1,,5,1,1,1,,1,2,0,1,,,,,,
Avondale ,1,667,2006,2009,"Paille-Smith, Nathalie",2,.,3,1,,5,67,150,.,,2,2,0,2,,,,,,
Avondale ,1,667,2006,2009,"Gushue, Stacey",2,.,3,2,,5,43,150,.,,2,2,0,3,,,,,,
Avondale ,1,667,2006,2009,"Gushue, Bernard",1,.,3,1,,5,1,1,1,,1,2,0,1,,,,,,
Avondale ,1,667,2006,2009,"Hickey, Bernard",1,.,3,1,,5,1,1,1,,1,2,0,1,,,,,,
Badger,2,813,2006,2009,"Noseworthy, Dennis",1,.,3,1,,7,1,1,,,2,2,0,1,,,,,,
Badger,2,813,2006,2009,"Patey, Michael",1,.,3,1,,7,1,1,,,2,1,4,1,,,,,,
Badger,2,813,2006,2009,"Penton, Neil",1,.,3,1,,7,1,1,,,2,1,4,1,,,,,,
Badger,2,813,2006,2009,"Mercer McKibbon, Blanche",2,4,3,1,,7,1,1,,,2,2,0,1,,,,,,
Badger,2,813,2006,2009,"Noseworthy, Michelle",2,3,3,1,,7,1,1,,,2,1,4,1,,,,,,
Badger,2,793,2011,2013,"Bennett, Michael",1,4,3,1,,7,207,"2,501",606,,1,2,0,1,,,,,,
Badger,2,793,2011,2013,"Foley, Frank",1,3,3,2,,7,94,"2,501",606,,1,2,0,2,,,,,,
Badger,2,793,2011,2013,"Howell, Rodney",1,3,3,1,,7,262,"2,501",606,,1,2,0,1,,,,,,
Badger,2,793,2011,2013,"Hurley, Gerald",1,5,3,2,,7,98,"2,501",606,,1,2,12,2,,,,,,
Badger,2,793,2011,2013,"Hurley, Gregory",1,5,3,2,,7,101,"2,501",606,,1,1,4,2,,,,,,
Badger,2,793,2011,2013,"Patey, Michael",1,4,3,1,,7,297,"2,501",606,,1,1,8,1,,,,,,
Badger,2,793,2011,2013,"Penton, Neil",1,5,3,1,,7,245,"2,501",606,,1,1,7,1,,,,,,
Badger,2,793,2011,2013,"Bridger, Paula",2,4,3,1,,7,267,"2,501",606,,1,2,0,1,,,,,,
Badger,2,793,2011,2013,"Huxter, Sandra",2,3,3,2,,7,126,"2,501",606,,1,2,0,2,,,,,,
Badger,2,793,2011,2013,"Mercer, Blanche",2,5,3,1,,7,206,"2,501",606,,1,1,4,1,,,,,,
Badger,2,793,2011,2013,"Noseworthy, Michelle",2,3,3,2,,7,158,"2,501",606,,1,1,8,2,,,,,,
Badger,2,793,2011,2013,"Paul, Colleen",2,3,3,1,,7,240,"2,501",606,,1,2,0,1,,,,,,
Badger,2,793,2011,2013,"Young, Ann Marie",2,3,3,2,,7,200,"2,501",606,,1,1,4,2,,,,,,
Badger,2,704,2016,2017,"Best, Terry",1,.,3,1,,7,160,443,610,,1,.,.,2,,,,,,
Badger,2,704,2016,2017,"Butt, Dennis",1,.,3,1,,7,307,443,610,,1,.,.,2,,,,,,
Badger,2,704,2016,2017,"Card, Ed",1,.,3,1,,7,359,443,610,,1,.,.,2,,,,,,
Badger,2,704,2016,2017,"Paul, Pat",1,.,3,1,,7,299,443,610,,1,.,.,2,,,,,,
Badger,2,704,2016,2017,"Foster, Rick",1,.,3,2,,7,81,443,610,,1,.,.,3,,,,,,
Badger,2,704,2016,2017,"Butt, Ross",1,.,3,2,,7,68,443,610,,1,.,.,3,,,,,,
Badger,2,704,2016,2017,"Paul, Colleen",2,.,3,1,,7,264,443,610,,1,.,.,2,,,,,,
Badger,2,704,2016,2017,"Butt, Joanne",2,.,3,2,,7,144,443,610,,1,.,.,3,,,,,,
Badger,2,704,2016,2017,"Martin, Krista",2,.,3,2,,7,140,443,610,,1,.,.,3,,,,,,
Badger,2,704,2016,2017,"Stuckless, Lorna",2,.,3,2,,7,140,443,610,,1,.,.,3,,,,,,
Badger,2,704,2016,2017,"Loder, Michelle",2,.,3,2,,7,156,443,610,,1,.,.,3,,,,,,
Badger,2,704,2016,2017,"Noseworthy, Michelle",2,.,3,1,,7,265,443,610,,1,.,.,2,,,,,,
Badger,2,704,2016,2017,"Greene, Stephanie",2,.,3,1,,7,181,443,610,,1,.,.,2,,,,,,
Baie Verte,2,"1,275",2006,2009,"Downey, Barry",1,.,3,2,,7,59,343,940,,1,1,4,3,,,,,,
Baie Verte,2,"1,275",2006,2009,"Acreman, Gerard",1,.,1,1,,7,1,343,940,,1,1,12,1,,,,,,
Baie Verte,2,"1,275",2006,2009,"Burke, Gerard",1,.,3,1,,7,275,343,940,,1,2,0,2,,,,,,
Baie Verte,2,"1,275",2006,2009,"Dyer, Gerard",1,.,3,2,,7,55,343,940,,1,2,0,3,,,,,,
Baie Verte,2,"1,275",2006,2009,"Winsor, John",1,.,3,1,,7,249,343,940,,1,1,2,2,,,,,,
Baie Verte,2,"1,275",2006,2009,"Regular, Kevin",1,.,3,1,,7,257,343,940,,1,1,2,2,,,,,,
Baie Verte,2,"1,275",2006,2009,"Thistle, Paul",1,.,3,1,,7,242,343,940,,1,2,0,2,,,,,,
Baie Verte,2,"1,275",2006,2009,"Bowers, Rex",1,.,3,1,,7,212,343,940,,1,1,2,2,,,,,,
Baie Verte,2,"1,275",2006,2009,"Bailey, Scott",1,.,3,1,,7,275,343,940,,1,1,2,2,,,,,,
