Municipality,Region,Population,Census,Election Year,Candidate Name,Sex,Age,Position,Winner,ID Number,Size of Council,Number of Votes Obtained,Total Votes in Election,Eligible Voters,Campaign Spending,Type of Election,Incumbent,Years of Service,Acclaimed/Elected,,,,,,
Cupids,1,743,2016,2017,"Adams, Christopher",1,.,3,1,,7,212,402,597,,1,.,.,2,,,,,,
Cupids,1,743,2016,2017,"Bishop, Aubrey",1,.,3,1,,7,202,402,597,,1,.,.,2,,,,,,
Cupids,1,743,2016,2017,"Butler, Carl",1,.,3,1,,7,238,402,597,,1,.,.,2,,,,,,
Cupids,1,743,2016,2017,"Connolly, Kevin",1,.,3,2,,7,162,402,597,,1,.,.,3,,,,,,
Cupids,1,743,2016,2017,"Delaney, Rod",1,.,3,1,,7,206,402,597,,1,.,.,2,,,,,,
Cupids,1,743,2016,2017,"Furey, Douglas",1,.,3,2,,7,146,402,597,,1,.,.,3,,,,,,
Cupids,1,743,2016,2017,"Laracy, Jeffery",1,.,3,1,,7,219,402,597,,1,.,.,2,,,,,,
Cupids,1,743,2016,2017,"Mahoney, John",1,.,3,2,,7,155,402,597,,1,.,.,3,,,,,,
Cupids,1,743,2016,2017,"Boutilier, Pamela",2,.,3,1,,7,216,402,597,,1,2,.,2,,,,,,
Cupids,1,743,2016,2017,"Burry, Christine",2,.,3,2,,7,173,402,597,,1,2,.,3,,,,,,
Cupids,1,743,2016,2017,"Penney, Connie",2,.,3,2,,7,171,402,597,,1,2,.,3,,,,,,
Cupids,1,743,2016,2017,"Power, Alice",2,.,3,1,,7,185,402,597,,1,2,.,2,,,,,,
Cupids ,1,790,2006,2009,"Wells, Clyde",1,.,3,2,,7,71,365,604,,1,2,0,3,,,,,,
Cupids ,1,790,2006,2009,"Linthorne, Dale",1,.,3,2,,7,122,365,604,,1,1,5,3,,,,,,
Cupids ,1,790,2006,2009,"Furey, Douglas",1,5,3,2,,7,146,365,604,,1,2,0,3,,,,,,
Cupids ,1,790,2006,2009,"Wells, Frank H.",1,5,3,2,,7,70,365,604,,1,2,15,3,,,,,,
Cupids ,1,790,2006,2009,"Bishop, Frank L.",1,,3,1,,7,167,365,604,,1,1,4,2,,,,,,
Cupids ,1,790,2006,2009,"Akerman, Harold",1,.,3,1,,7,194,365,604,,1,2,4,2,,,,,,
Cupids ,1,790,2006,2009,"Puddister, Harvey",1,.,3,1,,7,157,365,604,,1,2,8,2,,,,,,
Cupids ,1,790,2006,2009,"Butler, Ira",1,.,3,1,,7,165,365,604,,1,2,0,2,,,,,,
Cupids ,1,790,2006,2009,"Mugford, John",1,.,3,2,,7,77,365,604,,1,1,8,3,,,,,,
Cupids ,1,790,2006,2009,"Laracay, Ronald",1,.,3,1,,7,215,365,604,,1,2,0,2,,,,,,
Cupids ,1,790,2006,2009,"Dawe, Ross",1,.,3,1,,7,150,365,604,,1,2,0,2,,,,,,
Cupids ,1,790,2006,2009,"Burry, Christine",2,4,3,1,,7,151,365,604,,1,1,16,2,,,,,,
Cupids ,1,790,2006,2009,"Curran, Geraldine",2,4,3,2,,7,129,365,604,,1,1,8,3,,,,,,
Cupids ,1,790,2006,2009,"Bonnell, Norma",2,5,3,2,,7,110,365,604,,1,1,4,3,,,,,,
Cupids ,1,761,2011,2013,"Akerman, Darrin",1,.,3,,,7,1,.,.,,.,2,0,1,,,,,,
Cupids ,1,761,2011,2013,"Furey, Doug",1,.,3,,,7,1,.,.,,.,1,3,1,,,,,,
Cupids ,1,761,2011,2013,"Akerman, Harold",1,.,3,,,7,1,.,.,,.,1,8,1,,,,,,
Cupids ,1,761,2011,2013,"Hurley, Henry",1,.,3,,,7,1,.,.,,.,2,0,1,,,,,,
Cupids ,1,761,2011,2013,"Connoly, Kevin",1,.,3,,,7,1,.,.,,.,1,3,1,,,,,,
Cupids ,1,761,2011,2013,"Power, Thomas",1,.,3,,,7,1,.,.,,.,2,0,1,,,,,,
Cupids ,1,761,2011,2013,"Burry, Christine",2,.,3,,,7,1,.,.,,.,1,20,1,,,,,,
Daniel's Harbour,3,288,2006,2009,"Pearce, Clyde",1,,3,2,,7,53,222,243,,1,2,19,3,,,,,,
Daniel's Harbour,3,288,2006,2009,"House, Daniel",1,,3,1,,7,92,222,243,,1,2,3,2,,,,,,
Daniel's Harbour,3,288,2006,2009,"Shillington, Gary",1,,3,2,,7,56,222,243,,1,1,4,3,,,,,,
Daniel's Harbour,3,288,2006,2009,"Carey, Grant",1,,3,2,,7,28,222,243,,1,2,0,3,,,,,,
Daniel's Harbour,3,288,2006,2009,"House, Harvey Jr.",1,,3,1,,7,114,222,243,,1,2,1,2,,,,,,
Daniel's Harbour,3,288,2006,2009,"House, Ronald",1,,3,2,,7,91,222,243,,1,2,7,3,,,,,,
Daniel's Harbour,3,288,2006,2009,"Jewer, Denny",1,,3,2,,7,41,222,243,,1,2,0,3,,,,,,
Daniel's Harbour,3,288,2006,2009,"Bennett, Jim",1,,3,1,,7,135,222,243,,1,2,1,2,,,,,,
Daniel's Harbour,3,288,2006,2009,"Biggin, Kirk",1,,3,2,,7,52,222,243,,1,2,0,3,,,,,,
Daniel's Harbour,3,288,2006,2009,"Brophy, Leslie",1,,3,1,,7,124,222,243,,1,1,8,2,,,,,,
Daniel's Harbour,3,288,2006,2009,"House, Norman",1,,3,2,,7,32,222,243,,1,2,5,3,,,,,,
Daniel's Harbour,3,288,2006,2009,"House, Roger",1,,3,2,,7,119,222,243,,1,2,6,3,,,,,,
Daniel's Harbour,3,288,2006,2009,"Humber, Ross",1,,1,1,,7,166,222,243,,1,2,2,2,,,,,,
Daniel's Harbour,3,288,2006,2009,"Perry, Shawn",1,,3,1,,7,128,222,243,,1,2,8,2,,,,,,
Daniel's Harbour,3,288,2006,2009,"Carey, Stephen",1,,1,2,,7,56,222,243,,1,1,9,3,,,,,,
Daniel's Harbour,3,288,2006,2009,"Carey, Carol",2,4,3,2,,7,36,222,243,,1,1,4,3,,,,,,
Daniel's Harbour,3,288,2006,2009,"Payne, Gloria",2,,3,2,,7,59,222,243,,1,2,1,3,,,,,,
Daniel's Harbour,3,288,2006,2009,"Biggin, Rosalind",2,,3,2,,7,25,222,243,,1,2,0,3,,,,,,
Daniel's Harbour,3,288,2006,2009,"Payne, Sybil",2,,3,2,,7,80,222,243,,1,2,0,3,,,,,,
Daniel's Harbour,3,265,2011,2013,"Humber, Ross",1,4,1,1,,7,1,1,1,,4,1,4,1,,,,,,
Daniel's Harbour,3,265,2011,2013,"House, Daniel",1,.,3,1,,7,88,.,.,,1,1,8,2,,,,,,
Daniel's Harbour,3,265,2011,2013,"Jewer, Denny",1,.,3,2,,7,55,.,.,,1,2,0,3,,,,,,
Daniel's Harbour,3,265,2011,2013,"House, Harvey, Jr.",1,.,3,1,,7,89,.,.,,1,1,5,2,,,,,,
Daniel's Harbour,3,265,2011,2013,"Biggin, Jeffrey",1,.,3,2,,7,30,.,.,,1,2,3,3,,,,,,
Daniel's Harbour,3,265,2011,2013,"Brophy, Leslie",1,.,3,1,,7,114,.,.,,1,1,12,2,,,,,,
Daniel's Harbour,3,265,2011,2013,"House, Roger",1,.,3,1,,7,86,.,.,,1,1,9,2,,,,,,
Daniel's Harbour,3,265,2011,2013,"House, Ronald",1,.,3,2,,7,65,.,.,,1,1,9,3,,,,,,
Daniel's Harbour,3,265,2011,2013,"Perry, Shawn",1,.,3,1,,7,101,.,.,,1,1,12,2,,,,,,
Daniel's Harbour,3,265,2011,2013,"Carey, Stephen",1,.,3,2,,7,32,.,.,,1,2,9,3,,,,,,
Daniel's Harbour,3,265,2011,2013,"Wentzell, Bethany",2,5,3,1,,7,99,.,.,,1,2,0,2,,,,,,
Daniel's Harbour,3,253,2016,2017,"Brophy, Leslie",1,4,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Daniel's Harbour,3,253,2016,2017,"House, Roger",1,5,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Daniel's Harbour,3,253,2016,2017,"House, Ronald",1,5,3,1,,7,1,1,1,,4,2,.,1,,,,,,
Daniel's Harbour,3,253,2016,2017,"Jewer, Denny",1,2,3,1,,7,1,1,1,,4,2,.,1,,,,,,
Daniel's Harbour,3,253,2016,2017,"Perry, Shawn",1,4,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Daniel's Harbour,3,253,2016,2017,"Humber, Ross",1,4,1,1,,7,1,1,1,,4,1,.,1,,,,,,
Daniel's Harbour,3,253,2016,2017,"Wentzell, Bethany",2,5,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Deer Lake,3,"4,827",2006,2009,"Mauel, Barry",1,,3,1,,7,899,"1,866","3,870",,1,2,0,2,,,,,,
Deer Lake,3,"4,827",2006,2009,"Gordon, Daryl",1,,3,2,,7,533,"1,866","3,870",,1,2,0,3,,,,,,
Deer Lake,3,"4,827",2006,2009,"Strangemore, Dawson",1,,3,2,,7,344,"1,866","3,870",,1,2,0,3,,,,,,
Deer Lake,3,"4,827",2006,2009,"Ball, Dean",1,,1,1,,7,848,"1,866","3,870",,1,1,16,2,,,,,,
Deer Lake,3,"4,827",2006,2009,"Bingle, Elmo",1,,3,1,,7,719,"1,866","3,870",,1,2,0,2,,,,,,
Deer Lake,3,"4,827",2006,2009,"Jones, Kerry",1,,3,1,,7,885,"1,866","3,870",,1,1,4,2,,,,,,
Deer Lake,3,"4,827",2006,2009,"Hall, Larry",1,,1,2,,7,244,"1,866","3,870",,1,1,4,3,,,,,,
Deer Lake,3,"4,827",2006,2009,"Compton, Perry",1,,3,2,,7,711,"1,866","3,870",,1,2,0,3,,,,,,
Deer Lake,3,"4,827",2006,2009,"Nichols, Ralph",1,,1,2,,7,758,"1,866","3,870",,1,2,8,3,,,,,,
Deer Lake,3,"4,827",2006,2009,"Fitzpatrick, Vince",1,,3,2,,7,652,"1,866","3,870",,1,2,0,3,,,,,,
Deer Lake,3,"4,827",2006,2009,"Parsons, Angela",2,,3,2,,7,632,"1,866","3,870",,1,2,0,3,,,,,,
Deer Lake,3,"4,827",2006,2009,"Young, Jean D.",2,,3,1,,7,718,"1,866","3,870",,1,2,4,2,,,,,,
Deer Lake,3,"4,827",2006,2009,"Humber, Joan",2,,3,2,,7,611,"1,866","3,870",,1,1,2,3,,,,,,
Deer Lake,3,"4,827",2006,2009,"Pinksen, Sandra",2,,3,1,,7,"1,078","1,866","3,870",,1,2,0,2,,,,,,
Deer Lake,3,"4,827",2006,2009,"Mercer, Shelia",2,,3,1,,7,935,"1,866","3,870",,1,2,0,2,,,,,,
Deer Lake,3,"4,995",2011,2013,"Ball, Dean",1,.,1,1,,7,"1,032",.,.,,1,1,23,2,,,,,,
Deer Lake,3,"4,995",2011,2013,"Bingle, Elmo",1,.,3,1,,7,"1,200",.,.,,1,1,4,2,,,,,,
Deer Lake,3,"4,995",2011,2013,"Winsor, Garry",1,.,3,2,,7,659,.,.,,1,2,0,3,,,,,,
Deer Lake,3,"4,995",2011,2013,"Williams, James",1,.,3,2,,7,,.,.,,1,2,0,3,,,,,,
Deer Lake,3,"4,995",2011,2013,"Jones, Kerry",1,.,3,1,,7,"1,209",.,.,,1,1,8,2,,,,,,
Deer Lake,3,"4,995",2011,2013,"Spence, Myra",2,.,1,2,,7,871,.,.,,1,2,2,3,,,,,,
Deer Lake,3,"4,995",2011,2013,"Freake, Amanda",2,.,3,1,,7,"1,197",.,.,,1,2,0,2,,,,,,
Deer Lake,3,"4,995",2011,2013,"Parsons, Angela",2,.,3,2,,7,746,.,.,,1,2,0,3,,,,,,
Deer Lake,3,"4,995",2011,2013,"Young, D. Jean",2,.,3,1,,7,"1,042",.,.,,1,1,8,2,,,,,,
Deer Lake,3,"4,995",2011,2013,"Pinksen, Sandra",2,.,3,1,,7,"1,313",.,.,,1,1,4,2,,,,,,
Deer Lake,3,"4,995",2011,2013,"Mercer, Sheila",2,.,3,1,,7,"1,059",.,.,,1,1,4,2,,,,,,
Deer Lake,3,"5,249",2016,2017,"Ball, Dean",1,5,1,1,,7,"1,293","2,142","3,600",,1,1,.,2,,,,,,
Deer Lake,3,"5,249",2016,2017,"Bingle, Elmo",1,.,3,2,,7,"1,002","2,142","3,600",,1,.,.,3,,,,,,
Deer Lake,3,"5,249",2016,2017,"Goosney, Michael",1,.,3,1,,7,"1,582","2,142","3,600",,1,.,.,2,,,,,,
Deer Lake,3,"5,249",2016,2017,"Hancock, Gordon",1,.,3,1,,7,"1,448","2,142","3,600",,1,.,.,2,,,,,,
Deer Lake,3,"5,249",2016,2017,"Jones, Kerry",1,.,3,1,,7,"1,116","2,142","3,600",,1,.,.,2,,,,,,
Deer Lake,3,"5,249",2016,2017,"Parsons, David",1,.,3,1,,7,"1,252","2,142","3,600",,1,.,.,2,,,,,,
Deer Lake,3,"5,249",2016,2017,"Pinksen, Sandra",2,5,1,2,,7,826,"2,142","3,600",,1,2,.,3,,,,,,
Deer Lake,3,"5,249",2016,2017,"Freake, Amanda",2,.,3,1,,7,"1,450","2,142","3,600",,1,.,.,2,,,,,,
Deer Lake,3,"5,249",2016,2017,"Robbins, TerriLynn",2,.,3,2,,7,846,"2,142","3,600",,1,.,.,3,,,,,,
Deer Lake,3,"5,249",2016,2017,"Spence, Myra",2,.,3,1,,7,"1,166","2,142","3,600",,1,.,.,2,,,,,,
Dover,2,688,2006,2009,"Johnson, Alvinwood",1,.,3,1,,7,126,257,562,,1,1,17,2,,,,,,
Dover,2,688,2006,2009,"Keats, Calvin",1,.,3,2,,7,78,257,562,,1,2,0,3,,,,,,
Dover,2,688,2006,2009,"Brown, Douglas",1,.,3,2,,7,81,257,562,,1,2,0,3,,,,,,
Dover,2,688,2006,2009,"Keats, George",1,.,3,1,,7,84,257,562,,1,2,0,2,,,,,,
Dover,2,688,2006,2009,"Willis, Marshall",1,.,3,1,,7,97,257,562,,1,2,4,2,,,,,,
Dover,2,688,2006,2009,"Keats, Matthew",1,.,3,2,,7,59,257,562,,1,2,0,3,,,,,,
Dover,2,688,2006,2009,"Wiseman, Robert",1,.,3,1,,7,140,257,562,,1,1,4,2,,,,,,
Dover,2,688,2006,2009,"Rogers, Roy",1,.,3,1,,7,111,257,562,,1,2,4,2,,,,,,
Dover,2,688,2006,2009,"Green, Sylvester",1,.,3,2,,7,58,257,562,,1,2,6,3,,,,,,
Dover,2,688,2006,2009,"Keats, Tony R.",1,.,3,1,,7,172,257,562,,1,1,17,2,,,,,,
Dover,2,688,2006,2009,"Feltham, Wesley",1,.,3,2,,7,70,257,562,,1,1,4,3,,,,,,
Dover,2,688,2006,2009,"Claude, Willis",1,.,3,2,,7,82,257,562,,1,1,27,3,,,,,,
Dover,2,688,2006,2009,"Parsons, Delores",2,.,3,2,,7,65,257,562,,1,2,0,3,,,,,,
Dover,2,688,2006,2009,"Collins Crowley, Michelle",2,.,3,2,,7,74,257,562,,1,1,4,3,,,,,,
Dover,2,688,2006,2009,"Keats, Patsy",2,.,3,1,,7,131,257,562,,1,2,0,2,,,,,,
Dover,2,673,2011,2013,"Button, Eugene",1,5,3,1,,7,1,7,.,,4,2,4,1,,,,,,
Dover,2,673,2011,2013,"Hunt, Jerry",1,5,3,1,,7,1,7,.,,4,2,0,1,,,,,,
Dover,2,673,2011,2013,"Johnson, Alvinwood",1,5,3,1,,7,1,7,.,,4,1,21,1,,,,,,
Dover,2,673,2011,2013,"Keats, Tony R",1,5,1,1,,7,1,7,.,,4,1,21,1,,,,,,
Dover,2,673,2011,2013,"Willis, Claude",1,5,3,1,,7,1,7,.,,4,2,26,1,,,,,,
Dover,2,673,2011,2013,"Willis, Marshall",1,5,3,1,,7,1,7,.,,4,1,0,1,,,,,,
Dover,2,673,2011,2013,"Wiseman, Robert",1,4,3,1,,7,1,7,.,,4,1,13,1,,,,,,
Dover,2,662,2016,2017,"Keats, Tony R.",1,4,1,1,,7,1,1,1,,4,1,.,1,,,,,,
Dover,2,662,2016,2017,"Hounsell, Paul",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Dover,2,662,2016,2017,"Collins, Robert",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Dover,2,662,2016,2017,"Wiseman, Robert",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Dover,2,662,2016,2017,"Hunt, Jerry",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Dover,2,662,2016,2017,"Johnson, Alvinwood",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Dover,2,662,2016,2017,"Mongrain, Pam",2,5,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Duntara,1,46,2011,2013,.,.,.,.,.,,5,.,.,.,,.,.,.,.,,,,,,
Eastport,2,499,2006,2009,"Crisby, Arthur",1,.,3,1,,7,97,155,406,,1,1,16,2,,,,,,
Eastport,2,499,2006,2009,"Crisby, Chesley",1,.,3,1,,7,114,155,406,,1,1,16,2,,,,,,
Eastport,2,499,2006,2009,"Babstock, Glenn",1,.,3,2,,7,66,155,406,,1,1,11,3,,,,,,
Eastport,2,499,2006,2009,"Kelligrew, Malcolm",1,.,3,1,,7,97,155,406,,1,1,21,2,,,,,,
Eastport,2,499,2006,2009,"Duffett, William",1,.,3,1,,7,95,155,406,,2,2,0,2,,,,,,
Eastport,2,499,2006,2009,"Jenkins, Anne",2,5,3,1,,7,116,155,406,,1,1,4,2,,,,,,
Eastport,2,499,2006,2009,"Squires, Genevieve",2,5,3,1,,7,123,155,406,,1,2,9,2,,,,,,
Eastport,2,499,2006,2009,"Macnab, Mary",2,5,3,1,,7,121,155,406,,1,1,2,2,,,,,,
Eastport,2,482,2011,2013,"Beck, George",1,3,3,2,,7,52,972,361,,1,2,.,3,,,,,,
Eastport,2,482,2011,2013,"Collier, Joseph",1,5,3,2,,7,73,972,361,,1,2,.,3,,,,,,
Eastport,2,482,2011,2013,"Crisby, Arthur",1,4,3,1,,7,118,972,361,,1,1,.,2,,,,,,
Eastport,2,482,2011,2013,"Holman, Alan",1,5,3,1,,7,109,972,361,,1,2,.,2,,,,,,
Eastport,2,482,2011,2013,"Jenkins, Anne",1,5,3,1,,7,105,972,361,,1,1,.,2,,,,,,
Eastport,2,482,2011,2013,"Squire, Peter",1,4,3,2,,7,56,972,361,,1,2,.,3,,,,,,
Eastport,2,482,2011,2013,"Crisby, Chelsey",2,5,3,1,,7,115,972,361,,1,1,.,2,,,,,,
Eastport,2,482,2011,2013,"MacNab, Mary",2,5,3,1,,7,112,972,361,,1,1,.,2,,,,,,
Eastport,2,482,2011,2013,"Powell, Shannon",2,1,3,1,,7,102,972,361,,1,2,.,2,,,,,,
Eastport,2,482,2011,2013,"Squire, Genevieve",2,5,3,1,,7,130,972,361,,1,1,.,2,,,,,,
Eastport,2,501,2016,2017,"Crisby, Arthur",1,.,3,1,,7,98,186,401,,1,.,.,2,,,,,,
Eastport,2,501,2016,2017,"Crisby, Chesley",1,.,3,2,,7,78,186,401,,1,.,.,3,,,,,,
Eastport,2,501,2016,2017,"Duffitt, William",1,.,3,1,,7,113,186,401,,1,.,.,2,,,,,,
Eastport,2,501,2016,2017,"Holman, Alan",1,.,3,1,,7,94,186,401,,1,.,.,2,,,,,,
Eastport,2,501,2016,2017,"Babstock, Heather",2,.,3,2,,7,41,186,401,,1,.,.,3,,,,,,
Eastport,2,501,2016,2017,"Jenkins, Anne",2,.,3,2,,7,76,186,401,,1,.,.,3,,,,,,
Eastport,2,501,2016,2017,"MacNab, Mary",2,.,3,1,,7,103,186,401,,1,.,.,2,,,,,,
Eastport,2,501,2016,2017,"Powell, Kimberly",2,.,3,1,,7,103,186,401,,1,.,.,2,,,,,,
Eastport,2,501,2016,2017,"Powell, Shannon",2,.,3,1,,7,100,186,401,,1,.,.,2,,,,,,
Eastport,2,501,2016,2017,"Squire, Genevieve",2,.,3,1,,7,124,186,401,,1,.,.,2,,,,,,
Elliston,1,306,2006,2009,"Chaulk, Alfred",1,4,3,1,,5,1,1,1,,3,1,.,1,,,,,,
Elliston,1,306,2006,2009,"Sanger, Clifford",1,4,3,1,,5,1,1,1,,3,2,.,1,,,,,,
Elliston,1,306,2006,2009,"Martin, Derek",1,.,3,1,,5,1,1,1,,1,1,.,1,,,,,,
Elliston,1,306,2006,2009,"Baker, Gary",1,.,3,1,,5,1,1,1,,3,2,.,1,,,,,,
Elliston,1,306,2006,2009,"Coles, Myron",1,.,3,1,,5,1,1,1,,1,1,.,1,,,,,,
Elliston,1,306,2006,2009,"Childs, Raymond",1,.,3,1,,5,1,1,1,,3,1,.,1,,,,,,
Elliston,1,337,2011,2013,"Chaulk, Alfred",1,5,3,,,5,45,111,262,,1,1,.,3,,,,,,
Elliston,1,337,2011,2013,"Templeman, Blair",1,.,3,,,5,92,111,262,,1,1,.,2,,,,,,
Elliston,1,337,2011,2013,"Martin, Derek",1,.,3,,,5,95,111,262,,1,1,.,2,,,,,,
Elliston,1,337,2011,2013,"Coles, Myron",1,.,3,,,5,85,111,262,,1,1,.,2,,,,,,
Elliston,1,337,2011,2013,"Childs, Ray",1,.,3,,,5,73,111,262,,1,1,.,2,,,,,,
Elliston,1,337,2011,2013,"Baker, Geraldine",2,5,3,,,5,96,111,262,,1,2,.,2,,,,,,
Elliston,1,308,2016,2017,"Chaulk, Jabez",1,.,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Elliston,1,308,2016,2017,"Martin, Derek",1,.,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Elliston,1,308,2016,2017,"Templeman, Blair",1,.,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Elliston,1,308,2016,2017,"Baker, Geraldine",2,5,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Elliston,1,308,2016,2017,"Tilley, Harriet",2,5,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Embree,2,703,2006,2009,"Bennett, Don",1,.,3,1,,7,1,1,1,,2,1,10,1,,,,,,
Embree,2,703,2006,2009,"Nippard, Harold",1,.,3,1,,7,1,1,1,,2,1,2,1,,,,,,
Embree,2,703,2006,2009,"Pearce, Head",1,.,3,1,,7,1,1,1,,2,2,0,1,,,,,,
Embree,2,703,2006,2009,"Guy, Lane",1,.,3,1,,7,1,1,1,,2,1,12,1,,,,,,
Embree,2,703,2006,2009,"Fifield, Wallace",1,.,3,1,,7,1,1,1,,2,1,16,1,,,,,,
Embree,2,691,2011,2013,"Bennett, Don",1,5,3,1,,7,63,629,461,,1,1,13,2,,,,,,
Embree,2,691,2011,2013,"Filfield, Wallace",1,5,3,1,,7,78,629,461,,1,1,27,2,,,,,,
Embree,2,691,2011,2013,"Foss, Robert",1,5,3,1,,7,88,629,461,,1,2,0,2,,,,,,
Embree,2,691,2011,2013,"Fudge, Harold",1,5,3,2,,7,60,629,461,,1,1,3,3,,,,,,
Embree,2,691,2011,2013,"Lane, Guy",1,5,3,1,,7,66,629,461,,1,1,16,2,,,,,,
Embree,2,691,2011,2013,"Nippard, Harold",1,5,3,1,,7,96,629,461,,1,1,6,2,,,,,,
Embree,2,691,2011,2013,"Nippard, Herman",1,5,3,1,,7,77,629,461,,1,2,0,2,,,,,,
Embree,2,691,2011,2013,"Purchase, Wayne",1,5,3,1,,7,101,629,461,,1,1,3,2,,,,,,
Embree,2,701,2016,2017,"Bennett, Don",1,.,3,1,,7,1,1,1,,1,.,.,1,,,,,,
Embree,2,701,2016,2017,"Foss, Robert",1,.,3,1,,7,1,1,1,,1,.,.,1,,,,,,
Embree,2,701,2016,2017,"Fudge, Harold",1,.,3,1,,7,1,1,1,,1,.,.,1,,,,,,
Embree,2,701,2016,2017,"Nippard, Harold",1,.,3,1,,7,1,1,1,,1,.,.,1,,,,,,
Embree,2,701,2016,2017,"Sheppard, Tyler",1,.,3,1,,7,1,1,1,,2,.,.,1,,,,,,
Embree,2,701,2016,2017,"Fifield, Tammy",2,.,3,1,,7,1,1,1,,1,.,.,1,,,,,,
Embree,2,701,2016,2017,"Snow, Marilyn",2,.,3,1,,7,1,1,1,,2,.,.,1,,,,,,
Englee,3,618,2006,2009,"Compton, Allister",1,,3,1,,7,1,1,1,,4,1,4,1,,,,,,
Englee,3,618,2006,2009,"Breen, Christopher",1,3,3,1,,7,1,1,1,,4,2,0,1,,,,,,
Englee,3,618,2006,2009,"Fillier, Edgar Jr.",1,,3,1,,7,1,1,1,,4,1,33,1,,,,,,
Englee,3,618,2006,2009,"Keefe, Robert",1,,3,1,,7,1,1,1,,4,1,33,1,,,,,,
Englee,3,618,2006,2009,"Porter, Rudy",1,,3,1,,7,1,1,1,,4,1,18,1,,,,,,
Englee,3,618,2006,2009,"Randell, Ruth",2,5,3,1,,7,1,1,1,,4,1,8,1,,,,,,
Englee,3,618,2006,2009,"Wilcox, Gwen",2,2,3,1,,7,1,1,1,,4,2,0,1,,,,,,
Englee,3,583,2011,2013,"Compton, Allister",1,.,3,1,,7,1,1,1,,4,1,8,1,,,,,,
Englee,3,583,2011,2013,"Keefe, Robert",1,.,3,1,,7,1,1,1,,4,1,37,1,,,,,,
Englee,3,583,2011,2013,"Porter, Rudy",1,.,3,1,,7,1,1,1,,4,1,22,1,,,,,,
Englee,3,583,2011,2013,"Twyne, Ronald",1,5,3,1,,7,109,.,.,,2,2,0,2,,,,,,
Englee,3,583,2011,2013,"Kosher, Wayne",1,4,3,2,,7,18,.,.,,2,2,0,3,,,,,,
Englee,3,583,2011,2013,"Randell, Ruth",2,5,3,1,,7,1,1,1,,4,1,13,1,,,,,,
Englee,3,583,2011,2013,"Kosher, Alfreda",2,3,3,1,,7,70,.,.,,2,2,0,2,,,,,,
Englee,3,583,2011,2013,"MacWhirter, Bess",2,5,3,2,,7,62,.,.,,2,2,0,3,,,,,,
Englee,3,583,2011,2013,"Wilcox, Gwen",2,3,3,1,,7,98,.,.,,2,1,4,2,,,,,,
Englee,3,527,2016,2017,"Randell, Benson",1,5,3,1,,7,1,1,1,,4,2,.,1,,,,,,
Englee,3,527,2016,2017,"Fillier, Stephanie",2,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Englee,3,527,2016,2017,"Randell, Jacqueline",2,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Englee,3,527,2016,2017,"Randell, Nellie",2,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
English Harbour East,1,169,2006,2009,"Byrd, Charles",1,5,3,1,,5,1,1,1,,4,1,4,1,,,,,,
English Harbour East,1,169,2006,2009,"Kearley, Derrick",1,4,3,1,,5,1,1,1,,4,1,4,1,,,,,,
English Harbour East,1,169,2006,2009,"Simpson, Glen",1,4,3,1,,5,1,1,1,,4,2,0,1,,,,,,
English Harbour East,1,169,2006,2009,"Rideout, Janet",2,3,3,1,,5,1,1,1,,4,2,0,1,,,,,,
English Harbour East,1,169,2006,2009,"Hackett, Mary",2,5,3,1,,5,1,1,1,,4,1,25,1,,,,,,
English Harbour East,1,147,2011,2013,"Simpson, Glen",1,4,3,,,5,.,.,.,,.,1,.,.,,,,,,
English Harbour East,1,147,2011,2013,"Hackett, Jerome",1,4,3,,,5,.,.,.,,.,2,.,.,,,,,,
English Harbour East,1,147,2011,2013,"Hynes, Andrea",2,.,3,,,5,.,.,.,,.,2,.,.,,,,,,
English Harbour East,1,147,2011,2013,"Evans, Annie",2,.,3,,,5,.,.,.,,.,2,.,.,,,,,,
English Harbour East,1,147,2011,2013,"Hackett, Maxine",2,.,3,,,5,.,.,.,,.,2,.,.,,,,,,
Fermeuse,1,284,2006,2009,"Brophy, Des",1,3,3,1,,5,97,131,253,,1,1,4,2,,,,,,
Fermeuse,1,284,2006,2009,"Oates, Perry",1,3,3,1,,5,105,131,253,,1,2,0,2,,,,,,
Fermeuse,1,284,2006,2009,"Walsh, Trevor",1,2,3,2,,5,49,131,253,,1,2,0,3,,,,,,
